Position,Track Name,Artist,Streams,date,region,spotify_id
1,rockstar,Post Malone,15268097,2017-11-03--2017-11-10,us,7wGoVu4Dady5GV0Sv4UIsx
2,Gucci Gang,Lil Pump,9239147,2017-11-03--2017-11-10,us,43ZyHQITOjhciSUUNPVRHc
3,Too Good At Goodbyes,Sam Smith,8138285,2017-11-03--2017-11-10,us,1mXVgsBdtIVeCLJnSnmtdV
4,Havana,Camila Cabello,8017572,2017-11-03--2017-11-10,us,0ofbQMrRDsUaVKq2mGLEAb
5,I Fall Apart,Post Malone,7851950,2017-11-03--2017-11-10,us,75ZvA4QfFiZvzhj2xkaWAh
6,Bank Account,21 Savage,6675162,2017-11-03--2017-11-10,us,2fQrGHiQOvpL9UgPvtYy6G
7,1-800-273-8255,Logic,6561384,2017-11-03--2017-11-10,us,5tz69p7tJuGPeMGwNTxYuV
8,Ghostface Killers,21 Savage,6006967,2017-11-03--2017-11-10,us,5u6vkDnOyaf8LsteDAj2ub
9,What Lovers Do (feat. SZA),Maroon 5,5972391,2017-11-03--2017-11-10,us,3hBBKuWJfxlIlnd9QFoC8k
10,Ric Flair Drip (& Metro Boomin),Offset,5872487,2017-11-03--2017-11-10,us,7sO5G9EABYOXQKNPNiE9NR
11,MotorSport,Migos,5864166,2017-11-03--2017-11-10,us,1YZfcVLbbJwfizR5cDOp3q
12,Young Dumb & Broke,Khalid,5610478,2017-11-03--2017-11-10,us,5Z3GHaZ6ec9bsiI5BenrbY
13,No Limit,G-Eazy,5597102,2017-11-03--2017-11-10,us,2Xqd0wUttjueBfdcltADOv
14,Wolves,Selena Gomez,5571219,2017-11-03--2017-11-10,us,7EmGUiUaOSGDnUUQUDrOXC
15,Bodak Yellow,Cardi B,5505005,2017-11-03--2017-11-10,us,2771LMNxwf62FTAdpJMQfM
16,XO Tour Llif3,Lil Uzi Vert,5503022,2017-11-03--2017-11-10,us,7GX5flRQZVHRAGd6B4TmDO
17,I Get the Bag (feat. Migos),Gucci Mane,5165125,2017-11-03--2017-11-10,us,1XRgIKC5TPwo7nWGyKqgG0
18,Plain Jane,A$AP Ferg,5136705,2017-11-03--2017-11-10,us,4dVpf9jZjcORqGTLUaeYj9
19,Let You Down,NF,5112123,2017-11-03--2017-11-10,us,6mrKP2jyIQmM0rw6fQryjr
20,New Rules,Dua Lipa,4888191,2017-11-03--2017-11-10,us,2ekn2ttSfGqwhhate0LSR0
21,Congratulations,Post Malone,4831799,2017-11-03--2017-11-10,us,3a1lNhkSLSkpJE4MSHpDu9
22,Sorry Not Sorry,Demi Lovato,4779454,2017-11-03--2017-11-10,us,3m660poUr1chesgkkjQM7P
23,Perfect,Ed Sheeran,4776109,2017-11-03--2017-11-10,us,0tgVpDi06FyKpA1z0VMD4v
24,Silence,Marshmello,4742766,2017-11-03--2017-11-10,us,7vGuf3Y35N4wmASOKLUVVU
25,Candy Paint,Post Malone,4579008,2017-11-03--2017-11-10,us,42CeaId2XNlxugDvyqHfDf
26,Call It What You Want,Taylor Swift,4416506,2017-11-03--2017-11-10,us,0tDfp0vFR95Gg6Mrhza3lX
27,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,4396053,2017-11-03--2017-11-10,us,2eAZfqOm4EnOF9VvN50Tyc
28,Bad At Love,Halsey,4312258,2017-11-03--2017-11-10,us,7y9iMe8SOB6z3NoHE2OfXl
29,Feel It Still,Portugal. The Man,4261794,2017-11-03--2017-11-10,us,6QgjcU0zLnzq5OrUoSZ3OK
30,HUMBLE.,Kendrick Lamar,4251881,2017-11-03--2017-11-10,us,7KXjTSCq5nL1LoYtL7XAwS
31,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,4178382,2017-11-03--2017-11-10,us,5AEtlRudpgdT5FtNiuly6Y
32,Jocelyn Flores,XXXTENTACION,4106628,2017-11-03--2017-11-10,us,7m9OqQk4RVRkw9JJdeAw96
33,Pray,Sam Smith,4102723,2017-11-03--2017-11-10,us,7DsX5K72fewVGb47qj7Tbg
34,Unforgettable,French Montana,4091439,2017-11-03--2017-11-10,us,3B54sVLJ402zGa6Xm4YGNe
35,BUTTERFLY EFFECT,Travis Scott,4057147,2017-11-03--2017-11-10,us,1yxgsra98r3qAtxqiGZPiX
36,Roll In Peace (feat. XXXTENTACION),Kodak Black,3931671,2017-11-03--2017-11-10,us,40oKW22ZNNkEdZLJTScaQI
37,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,3862750,2017-11-03--2017-11-10,us,7iDa6hUg2VgEL1o1HjmfBn
38,goosebumps,Travis Scott,3770348,2017-11-03--2017-11-10,us,6gBFPUFcJLzWGx4lenP6h2
39,How Long,Charlie Puth,3602120,2017-11-03--2017-11-10,us,32DGGj6KlNuBr6WaqRxpxi
40,Fuck Love (feat. Trippie Redd),XXXTENTACION,3475929,2017-11-03--2017-11-10,us,7AQim7LbvFVZJE3O8TYgf2
41,Location,Khalid,3456869,2017-11-03--2017-11-10,us,152lZdxL1OR0ZMW6KquMif
42,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,3427493,2017-11-03--2017-11-10,us,1f5cbQtDrykjarZVrShaDI
43,Rake It Up,Yo Gotti,3421705,2017-11-03--2017-11-10,us,4knL4iPxPOZjQzTUlELGSY
44,Dusk Till Dawn - Radio Edit,ZAYN,3410235,2017-11-03--2017-11-10,us,1j4kHkkpqZRBwE0A4CN4Yv
45,Slippery (feat. Gucci Mane),Migos,3343364,2017-11-03--2017-11-10,us,6p8NuHm8uCGnn2Dtbtf7zE
46,Thunder,Imagine Dragons,3338201,2017-11-03--2017-11-10,us,0tKcYR2II1VCQWT79i5NrW
47,Go Flex,Post Malone,3190266,2017-11-03--2017-11-10,us,5yuShbu70mtHXY0yLzCQLQ
48,Rap Saved Me,21 Savage,3071292,2017-11-03--2017-11-10,us,0tdCy39PgWN8LFWu34ORn3
49,My Choppa Hate Niggas,21 Savage,2952469,2017-11-03--2017-11-10,us,2D2w9943rsnJOGCrI4aMQp
50,The Race,Tay-K,2927575,2017-11-03--2017-11-10,us,5RCfvwDewu6p2x1mEI6smX
51,Stargazing,Kygo,2925406,2017-11-03--2017-11-10,us,0Zbbxnx4SGGHoIow4PpISP
52,Glorious (feat. Skylar Grey),Macklemore,2879422,2017-11-03--2017-11-10,us,0CokSRCu5hZgPxcZBaEzVE
53,Wait,Maroon 5,2861560,2017-11-03--2017-11-10,us,4lUnFLtn8w3W76FiYDRzmO
54,LOVE. FEAT. ZACARI.,Kendrick Lamar,2770045,2017-11-03--2017-11-10,us,6PGoSes0D9eUDeeAafB2As
